Date,Category,Amount,Description
2026-07-01,Food,250,Lunch
2026-07-02,Transport,120,Metro
2026-07-03,Shopping,1500,Clothes
2026-07-04,Groceries,850,Monthly groceries
2026-07-05,Entertainment,400,Movie
2026-07-06,Food,180,Breakfast
2026-07-07,Education,700,Study material
2026-07-08,Transport,100,Auto
2026-07-09,Bills,1200,Internet bill
2026-07-10,Food,320,Dinner
2026-07-11,Health,600,Medicine
2026-07-12,Shopping,900,Shoes
2026-07-13,Transport,150,Cab
2026-07-14,Food,220,Lunch
2026-07-15,Entertainment,300,Games
2026-07-16,Groceries,650,Vegetables
2026-07-17,Bills,500,Mobile recharge
2026-07-18,Education,450,Online course
2026-07-19,Food,280,Dinner
2026-07-20,Transport,90,Bus
2026-07-21,Shopping,1200,Bag
2026-07-22,Food,200,Breakfast
2026-07-23,Health,350,Pharmacy
2026-07-24,Entertainment,550,Restaurant
2026-07-25,Groceries,900,Household items
2026-07-26,Transport,130,Metro
2026-07-27,Bills,1500,Electricity bill
2026-07-28,Food,350,Dinner
2026-07-29,Shopping,750,Accessories
2026-07-30,Education,600,Books
2026-07-31,Food,240,Lunch
2026-08-01,Food,300,Lunch
2026-08-02,Transport,110,Metro
2026-08-03,Groceries,780,Groceries
2026-08-04,Bills,900,Water bill
2026-08-05,Shopping,1100,Clothes
2026-08-06,Food,260,Dinner
2026-08-07,Education,500,Course material
2026-08-08,Entertainment,450,Movie
2026-08-09,Transport,140,Auto
2026-08-10,Health,450,Medicine
2026-08-11,Food,220,Breakfast
2026-08-12,Shopping,650,Accessories
2026-08-13,Groceries,920,Monthly groceries
2026-08-14,Bills,600,Mobile bill
2026-08-15,Entertainment,700,Dinner out
2026-08-16,Transport,180,Cab
2026-08-17,Food,310,Lunch
2026-08-18,Education,800,Books
2026-08-19,Shopping,1300,Shoes
2026-08-20,Food,290,Dinner
2026-08-21,Health,300,Pharmacy
2026-08-22,Transport,100,Bus
2026-08-23,Groceries,500,Fruits and vegetables
2026-08-24,Entertainment,350,Games
2026-08-25,Bills,1400,Electricity bill
2026-08-26,Food,250,Lunch
2026-08-27,Shopping,850,Bag
2026-08-28,Transport,120,Metro
2026-08-29,Education,550,Online learning
2026-08-30,Food,340,Dinner
2026-08-31,Other,300,Miscellaneous
2026-09-01,Food,280,Lunch
2026-09-02,Transport,130,Metro
2026-09-03,Shopping,1600,Clothes
2026-09-04,Groceries,880,Monthly groceries
2026-09-05,Entertainment,500,Movie
2026-09-06,Food,210,Breakfast
2026-09-07,Education,650,Books
2026-09-08,Transport,150,Cab
2026-09-09,Bills,1250,Internet bill
2026-09-10,Food,330,Dinner
2026-09-11,Health,550,Medicine
2026-09-12,Shopping,950,Shoes
2026-09-13,Transport,100,Bus
2026-09-14,Food,300,Dinner
2026-09-15,Entertainment,400,Games
2026-09-16,Groceries,700,Household items
2026-09-17,Bills,550,Mobile recharge
2026-09-18,Education,500,Study material
2026-09-19,Food,270,Lunch
2026-09-20,Transport,120,Metro
2026-09-21,Shopping,1250,Bag
2026-09-22,Food,220,Breakfast
2026-09-23,Health,400,Pharmacy
2026-09-24,Entertainment,600,Restaurant
2026-09-25,Groceries,950,Groceries
2026-09-26,Transport,160,Cab
2026-09-27,Bills,1600,Electricity bill
2026-09-28,Food,360,Dinner
2026-09-29,Shopping,800,Accessories
2026-09-30,Other,250,Miscellaneous
